metadata,category,readcode,readterm,medcode
,17,9t2H.00,Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011,112245
,18,9SA..00,Other ethnic non-mixed (NMO),30280
,18,9SA1.00,Brit. ethnic minor. spec.(NMO),32110
,18,9SA2.00,Brit. ethnic minor. unsp (NMO),57764
,18,9SAD.00,Other ethnic NEC (NMO),41214
,18,9SJ..00,Other ethnic group,12757
,18,9T1A.00,Other Pacific ethnic group,46752
,18,9iF..00,Other - ethnic category 2001 census,12434
,18,9iF4.00,Buddhist - ethnic category 2001 census,63872
,18,9iF5.00,Hindu - ethnic category 2001 census,56127
,18,9iF6.00,Jewish - ethnic category 2001 census,46063
,18,9iF7.00,Muslim - ethnic category 2001 census,47091
,18,9iF8.00,Sikh - ethnic category 2001 census,49658
,18,9iFB.00,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",28909
,18,9iFC.00,Israeli - ethnic category 2001 census,46964
,18,9iFD.00,Iranian - ethnic category 2001 census,25937
,18,9iFE.00,Kurdish - ethnic category 2001 census,45964
,18,9iFF.00,Moroccan - ethnic category 2001 census,25451
,18,9iFG.00,Latin American - ethnic category 2001 census,26246
,18,9iFH.00,South and Central American - ethnic category 2001 census,12756
,18,9iFJ.00,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,32382
,18,9iFK.00,Any other group - ethnic category 2001 census,26455
,18,9i0..00,British or mixed British - ethnic category 2001 census,12351
,18,9t0H.00,Other ethnic: any other grp - Eng+Wales eth cat 2011 census,110742
,18,9t2J.00,Other ethnic grp: any other ethnic grp- Scotland 2011 census,111806
,18,9t1F.00,Other ethnic group: any other grp- NI ethnic cat 2011 census,110646
,18,9T11.11,Pakeha,85509
,18,9T13.00,New Zealand Maori,32479
,18,9T14.00,Samoan,64610
,18,9T15.00,Cook Island Maori,89910
,18,9T16.00,Tongan,60837
,18,9T17.00,Niuean,55584
,18,9T18.00,Tokelauan,25434
,18,9T19.00,Fijian,64609
,18,9T3..00,Yemeni,94487
,19,916E.00,Patient ethnicity unknown,93749
,19,9S...00,Ethnic groups (1991 census),10196
,19,9SD..00,Ethnic group not given - patient refused,12429
,19,9SE..00,Ethnic group not recorded,24340
,19,9SZ..00,Ethnic groups (census) NOS,45199
,19,9T...00,Ethnicity and other related nationality data,23955
,19,9i...00,Ethnic category - 2001 census,12435
,19,9iG..00,Ethnic category not stated - 2001 census,12459
,19,9t1..00,Ethnic category - 2011 census Northern Ireland,112302
,19,9t0..00,Ethnic category - 2011 census England and Wales,110417
,19,9t...00,Ethnic category - 2011 census,110472
,19,9t2..00,Ethnic category - 2011 census Scotland,110962
,4,9T7..00,Slovak,101787
,13,9T9..00,Nepali,101162
,18,134P.11,RACE: Other,32391
,4,134B.00,RACE: Caucasian,12191
,15,134K.00,RACE: West indian,32095
,11,134I.00,RACE: Bangladeshi,26348
,19,134O.00,RACE: Unknown,22953
,13,134E.00,RACE: Japanese,45163
,13,134G.00,RACE: Oriental,41200
,13,134F.00,RACE: Korean,41394
,12,134D.00,RACE: Chinese,32224
,8,134J.00,RACE: Mixed,30408
,8,134H.00,RACE: Afro-caribbean,25894
,6,134L.00,RACE: Afro-caucasian,45167
,4,134N.00,RACE: White,25550
,19,134P.00,RACE: Not stated,46137
,17,134C.00,RACE: Arab,12875
,10,134M.00,RACE: Pakistani,26062
